year,station,pollutant,avg_value,median_value,max_value,min_value,std_value,records_count
2020,La Boca,CO,0.4917,0.355,1.8176,0.07,0.3922,97
2020,La Boca,NO2,15.1718,14.2917,32.3636,3.5,6.1598,169
2020,La Boca,PM10,20.7172,19.5556,54.0,1.0,8.5804,193
2021,Centenario,CO,0.5518,0.4988,1.3412,0.2258,0.1992,179
2021,Centenario,NO2,18.4912,17.6667,45.125,2.125,7.9523,257
2021,Centenario,PM10,23.2013,21.6667,60.0417,6.4583,9.5121,236
2021,Córdoba,CO,0.5068,0.4973,1.0958,0.1444,0.1328,358
2021,Córdoba,NO2,18.184,17.0417,42.0417,5.0,7.3626,109
2021,Córdoba,PM10,19.8139,18.2916,68.0417,6.0,9.5621,200
2021,La Boca,CO,0.0788,0.0788,0.0817,0.0758,0.0042,2
2021,La Boca,NO2,12.934,11.4375,34.4583,2.9583,7.0063,316
2021,La Boca,PM10,22.3041,20.4375,66.6,7.1667,8.7174,318
2022,Centenario,CO,0.6409,0.5346,10.6271,0.2217,0.8122,285
2022,Centenario,NO2,18.3347,17.75,44.2083,5.2083,6.8234,194
2022,Centenario,PM10,27.1773,24.4167,81.375,6.8333,11.1078,331
2022,Córdoba,CO,0.4999,0.4737,0.9089,0.14,0.156,51
2022,Córdoba,NO2,13.7795,13.0833,25.2609,5.6667,4.5934,47
2022,Córdoba,PM10,23.1018,20.9167,77.5,6.5,13.1584,47
2022,La Boca,CO,0.4711,0.3421,17.1271,0.075,1.2313,320
2022,La Boca,NO2,16.7519,15.6667,77.7917,3.0833,8.8053,352
2022,La Boca,PM10,34.4622,30.3333,168.8333,11.5417,17.4416,345
2023,Centenario,CO,0.4741,0.4354,1.1192,0.1971,0.1573,353
2023,Centenario,NO2,18.9816,18.5,36.2083,8.2083,5.3333,354
2023,Centenario,PM10,25.3927,23.2917,72.625,8.625,9.773,361
2023,Córdoba,CO,0.5957,0.5714,1.2412,0.2304,0.1762,258
2023,Córdoba,NO2,19.234,18.4583,32.5833,9.7917,4.9464,91
