date,station,pollutant,actual_value,expected_value,difference,percentage_difference,z_score,method,severity,is_anomaly
2013-07-29,Centenario,CO,1.0429,0.4821,0.5608,116.3244,0.6263,IQR,Moderate,True
2013-07-28,Centenario,CO,2.9192,0.4821,2.4371,505.5175,3.0161,IQR + Isolation Forest,Extreme,True
2013-07-28,Centenario,PM10,85.0,22.7848,62.2152,273.0565,4.4782,IQR,Extreme,True
2013-07-19,Córdoba,NO2,84.5385,21.5417,62.9968,292.4412,5.0615,IQR + Isolation Forest,Extreme,True
2013-07-18,Córdoba,NO2,82.5417,21.5417,61.0,283.1717,4.895,IQR + Isolation Forest,Extreme,True
2013-07-17,Córdoba,NO2,84.3333,21.5417,62.7916,291.4886,5.0444,IQR + Isolation Forest,Extreme,True
2013-07-17,Centenario,PM10,49.0,22.7848,26.2152,115.0561,1.7694,IQR,Moderate,True
2013-07-17,Centenario,CO,0.9962,0.4821,0.5141,106.6376,0.5668,IQR,Moderate,True
2013-07-16,Córdoba,NO2,78.8333,21.5417,57.2916,265.9567,4.5859,IQR + Isolation Forest,Extreme,True
2013-07-15,Córdoba,NO2,101.5,21.5417,79.9583,371.1792,6.4757,IQR + Isolation Forest,Extreme,True
2013-07-15,Centenario,CO,1.1546,0.4821,0.6725,139.4939,0.7685,IQR,Moderate,True
2013-07-14,Córdoba,NO2,49.3333,21.5417,27.7916,129.013,2.1263,IQR + Isolation Forest,High,True
2013-07-12,Córdoba,NO2,96.7083,21.5417,75.1666,348.9353,6.0762,IQR + Isolation Forest,Extreme,True
2013-07-11,Córdoba,NO2,75.4583,21.5417,53.9166,250.2894,4.3045,IQR + Isolation Forest,Extreme,True
2013-07-11,Centenario,CO,1.2067,0.4821,0.7246,150.3008,0.8349,IQR,Moderate,True
2013-07-10,Córdoba,NO2,65.8696,21.5417,44.3279,205.7772,3.505,IQR + Isolation Forest,High,True
2013-07-08,Córdoba,NO2,85.0,21.5417,63.4583,294.5835,5.1,IQR + Isolation Forest,Extreme,True
2013-07-07,Córdoba,NO2,73.9167,21.5417,52.375,243.1331,4.1759,IQR + Isolation Forest,Extreme,True
2013-07-06,Córdoba,NO2,77.5417,21.5417,56.0,259.9609,4.4782,IQR + Isolation Forest,Extreme,True
2013-07-05,Córdoba,NO2,102.5,21.5417,80.9583,375.8213,6.5591,IQR + Isolation Forest,Extreme,True
