year,month,station,pollutant,avg_value,median_value,max_value,min_value,std_value,records_count
2011,7,Centenario,NO2,28.6871,27.875,46.25,18.2083,7.4945,31
2011,7,Centenario,PM10,71.167,55.625,352.7917,16.75,62.5909,31
2011,7,Córdoba,CO,0.9958,0.9033,1.7867,0.2396,0.5149,29
2011,7,Córdoba,NO2,47.7497,48.2083,64.3333,30.2917,8.622,29
2011,7,Córdoba,PM10,60.4615,55.1042,151.5417,19.75,31.7038,26
2011,7,La Boca,CO,0.3924,0.2561,1.6262,0.0826,0.3693,29
2011,7,La Boca,NO2,33.146,30.7917,59.25,20.9167,9.1357,31
2011,7,La Boca,PM10,62.7356,47.25,324.4167,14.125,58.1503,31
2011,8,Centenario,CO,0.7562,0.7017,1.3971,0.4875,0.2238,29
2011,8,Centenario,NO2,24.6834,24.0455,38.875,15.1538,5.2676,29
2011,8,Centenario,PM10,37.4405,30.75,83.9167,16.619,16.4843,27
2011,8,Córdoba,CO,0.7821,0.6133,2.4191,0.1988,0.5191,29
2011,8,Córdoba,NO2,47.9209,45.8333,121.3,22.5833,20.1342,29
2011,8,Córdoba,PM10,33.6234,27.8333,76.5833,13.6667,15.3681,27
2011,8,La Boca,CO,0.2483,0.1819,1.1996,0.055,0.2326,31
2011,8,La Boca,NO2,34.1658,29.375,64.3333,17.375,13.4592,31
2011,8,La Boca,PM10,31.3736,27.7083,63.25,13.4583,13.0552,31
2011,9,Centenario,CO,0.7245,0.7277,1.1117,0.4475,0.1929,22
2011,9,Centenario,NO2,24.87,22.7084,40.619,15.2917,7.1315,22
2011,9,Centenario,PM10,44.9907,41.2292,86.4583,17.8333,17.027,30
2011,9,Córdoba,CO,0.5115,0.3942,1.4008,0.1229,0.3223,28
2011,9,Córdoba,NO2,37.3486,34.5417,70.875,22.0,11.5541,25
2011,9,Córdoba,PM10,41.6364,41.3333,86.1667,16.5833,16.5366,29
2011,9,La Boca,CO,0.3088,0.2618,0.9542,0.0776,0.213,29
2011,9,La Boca,NO2,31.3628,29.4958,54.5,12.375,11.6337,30
2011,9,La Boca,PM10,44.8808,41.8958,88.3333,18.2917,17.0915,30
2011,10,Centenario,CO,0.5942,0.5894,0.8396,0.3958,0.1186,30
2011,10,Centenario,NO2,20.9767,20.45,31.5455,11.6667,4.3135,30
2011,10,Centenario,PM10,36.8306,31.3333,119.8333,14.3333,24.1218,31
2011,10,Córdoba,CO,0.2959,0.2824,0.6021,0.1059,0.0994,31
2011,10,Córdoba,PM10,35.6667,29.25,164.125,12.875,31.3746,31
2011,10,La Boca,CO,0.1327,0.1193,0.3429,0.06,0.0629,29
2011,10,La Boca,NO2,22.9739,22.1667,44.2083,13.3333,6.6343,31
2011,10,La Boca,PM10,36.871,28.5833,139.75,12.2083,28.8756,31
2011,11,Centenario,CO,0.548,0.5024,0.875,0.265,0.1762,28
2011,11,Centenario,NO2,21.4379,21.1044,29.7857,11.3333,3.7623,28
2011,11,Centenario,PM10,47.1956,28.2083,169.8571,19.9583,37.7516,27
2011,11,Córdoba,CO,0.2976,0.2746,0.5542,0.1333,0.1199,30
2011,11,Córdoba,PM10,48.1917,33.1667,162.7083,18.9583,35.7615,30
2011,11,La Boca,CO,0.1488,0.1287,0.44,0.0533,0.087,29
2011,11,La Boca,NO2,25.1797,24.4166,41.0833,13.0417,6.7662,30
2011,11,La Boca,PM10,48.6667,34.6667,142.0,18.6667,33.5339,30
2011,12,Centenario,CO,0.4826,0.4562,0.7383,0.2862,0.1052,29
2011,12,Centenario,NO2,16.3412,14.9583,27.2727,8.7917,5.1297,29
2011,12,Centenario,PM10,25.7764,24.7292,38.5417,15.125,5.7397,28
2011,12,Córdoba,CO,0.3611,0.292,1.2317,0.07,0.2735,31
2011,12,Córdoba,PM10,26.6089,26.4792,38.125,13.7083,7.2386,30
2011,12,La Boca,CO,0.1021,0.0946,0.2708,0.05,0.0525,27
2011,12,La Boca,NO2,18.4382,17.75,39.2917,10.7083,6.7753,31
2011,12,La Boca,PM10,25.4279,24.9583,43.2353,12.0,7.1407,31
2012,1,Centenario,CO,0.4011,0.3895,0.6217,0.2312,0.086,30
2012,1,Centenario,NO2,15.1444,14.9194,24.7917,7.0,4.9716,30
2012,1,Centenario,PM10,30.5232,27.4167,50.2917,19.1667,8.8547,29
2012,1,Córdoba,CO,0.2528,0.2298,0.74,0.0827,0.149,30
2012,1,Córdoba,NO2,19.2233,19.0769,36.2917,3.0,7.7752,27
2012,1,Córdoba,PM10,26.4175,24.6667,45.5,14.9167,7.7829,29
2012,1,La Boca,CO,0.0985,0.0849,0.2871,0.05,0.0511,28
2012,1,La Boca,NO2,20.9818,19.0417,59.5714,9.0417,10.8614,19
2012,1,La Boca,PM10,29.1362,25.9167,60.9,13.3333,10.7161,29
2012,2,Centenario,CO,0.45,0.4617,0.5742,0.255,0.0888,29
2012,2,Centenario,NO2,14.363,14.0,27.3333,5.4615,4.8786,29
2012,2,Centenario,PM10,30.9456,29.5208,49.125,17.5833,7.7302,28
2012,2,Córdoba,CO,0.278,0.249,0.61,0.1046,0.135,29
2012,2,Córdoba,NO2,25.7739,23.7917,44.5833,15.2917,6.7062,29
2012,2,Córdoba,PM10,24.2905,22.3333,45.0,13.0,8.4827,27
2012,2,La Boca,CO,0.1438,0.1504,0.2517,0.055,0.049,29
2012,2,La Boca,PM10,25.2831,23.9167,41.9167,15.25,6.9876,29
2012,3,Centenario,CO,0.4529,0.4417,0.7164,0.2454,0.1011,31
2012,3,Centenario,NO2,13.8293,12.625,24.4783,7.0,4.2566,31
2012,3,Centenario,PM10,32.8475,30.4834,57.4583,17.5417,10.3539,30
2012,3,Córdoba,CO,0.3699,0.3562,0.7412,0.06,0.1982,30
2012,3,Córdoba,NO2,23.8486,23.6042,34.7083,16.2083,4.8625,30
2012,3,Córdoba,PM10,27.2876,26.0,43.9333,14.2917,8.5077,28
2012,3,La Boca,CO,0.1438,0.1206,0.3635,0.0712,0.0668,30
2012,3,La Boca,PM10,26.1174,22.625,63.4167,14.5,10.1051,31
2012,4,Centenario,CO,0.5798,0.5534,0.9408,0.3158,0.1866,22
2012,4,Centenario,NO2,18.0596,17.9091,28.1667,7.125,5.5503,25
2012,4,Centenario,PM10,42.4629,40.75,98.0,23.5833,15.8905,25
2012,4,Córdoba,CO,0.4824,0.4175,1.0464,0.1525,0.2609,27
2012,4,Córdoba,NO2,28.0065,26.3333,44.4583,15.9167,8.7254,27
2012,4,Córdoba,PM10,31.3174,28.0834,51.5,19.0417,8.2903,26
2012,4,La Boca,CO,0.1991,0.1367,0.5958,0.0782,0.126,25
2012,4,La Boca,PM10,33.0061,30.6667,106.5,15.875,17.5416,25
2012,5,Centenario,CO,0.7172,0.7023,1.4675,0.3571,0.2213,30
2012,5,Centenario,NO2,18.9662,17.5455,30.3333,12.25,4.5101,31
2012,5,Centenario,PM10,32.1962,33.125,53.0417,18.5833,8.0067,31
2012,5,Córdoba,CO,0.5677,0.4467,1.564,0.08,0.3936,31
2012,5,Córdoba,NO2,42.1387,39.3417,65.6667,16.625,14.4545,26
2012,5,Córdoba,PM10,26.0936,24.6042,49.5714,12.45,8.2312,30
2012,5,La Boca,CO,0.2595,0.2144,0.5546,0.1004,0.131,31
2012,5,La Boca,NO2,24.1901,21.9565,39.5833,17.1667,6.5209,15
2012,5,La Boca,PM10,25.4624,23.875,42.2083,15.5417,6.981,31
2012,6,Centenario,CO,0.7425,0.6908,1.6656,0.3521,0.3113,30
2012,6,Centenario,NO2,20.3865,20.1458,28.0,12.625,4.3196,30
2012,6,Centenario,PM10,37.8306,35.3125,58.5417,21.0,10.3179,30
2012,6,Córdoba,CO,0.6419,0.5308,1.8062,0.1488,0.3671,28
2012,6,Córdoba,NO2,44.5697,45.2292,64.0,24.3333,10.4381,28
2012,6,Córdoba,PM10,28.5818,26.7292,48.125,16.2917,7.5416,26
2012,6,La Boca,CO,0.3652,0.339,1.0725,0.05,0.2396,30
2012,6,La Boca,NO2,30.7043,30.8333,45.0909,14.75,9.7135,24
2012,6,La Boca,PM10,29.7597,29.5416,49.2917,14.4167,9.0593,30
2012,7,Centenario,CO,0.8064,0.7479,1.3112,0.3979,0.235,28
2012,7,Centenario,NO2,24.6755,24.2381,36.375,15.2917,5.5265,29
2012,7,Centenario,PM10,48.7341,40.0773,89.5,15.0,21.1394,22
2012,7,Córdoba,CO,0.7032,0.6721,1.6245,0.1217,0.3525,29
2012,7,Córdoba,NO2,50.4998,46.3321,79.75,27.5,12.6931,28
2012,7,Córdoba,PM10,33.3474,32.1304,61.7917,11.4167,12.8949,17
2012,7,La Boca,CO,0.3723,0.323,1.0171,0.0821,0.2473,31
2012,7,La Boca,NO2,35.5387,32.1667,65.7083,16.7083,13.3724,31
2012,7,La Boca,PM10,36.7594,34.75,69.0833,13.9167,14.7054,31
2012,8,Centenario,CO,0.7801,0.7773,1.1588,0.4008,0.2146,28
2012,8,Centenario,NO2,20.4586,21.9499,28.9583,11.0833,4.6882,28
2012,8,Córdoba,CO,0.5912,0.5683,1.345,0.2037,0.2623,31
2012,8,Córdoba,NO2,54.4582,51.5909,83.5263,32.0833,13.4684,31
2012,8,La Boca,CO,0.3031,0.2455,0.6883,0.05,0.1915,29
2012,8,La Boca,NO2,35.5192,31.7292,75.2083,15.7917,13.533,30
2012,8,La Boca,PM10,23.8441,23.875,39.0417,10.4167,8.2792,31
2012,9,Centenario,CO,0.5512,0.5204,0.9254,0.3022,0.1637,29
2012,9,Centenario,NO2,18.8795,17.875,40.5,12.0909,5.9015,30
2012,9,Centenario,PM10,30.039,28.5,41.9167,18.9583,6.4775,19
2012,9,Córdoba,CO,0.4551,0.4426,0.9233,0.1575,0.2071,30
2012,9,Córdoba,NO2,34.7569,34.7292,49.1667,18.875,6.7303,30
2012,9,Córdoba,PM10,24.6289,24.125,35.0417,15.875,5.764,17
2012,9,La Boca,CO,0.2137,0.1324,0.9765,0.0525,0.2181,28
2012,9,La Boca,NO2,30.0131,29.75,50.875,15.0417,11.0104,22
2012,9,La Boca,PM10,26.3958,23.4375,46.25,12.75,8.5144,30
2012,10,Centenario,CO,0.588,0.525,1.5521,0.3771,0.2335,26
2012,10,Centenario,NO2,17.724,16.8693,37.8333,12.0833,5.1498,26
2012,10,Centenario,PM10,26.468,25.8334,43.2917,12.9583,7.3446,26
2012,10,Córdoba,CO,0.5216,0.4529,1.2162,0.1506,0.2663,31
2012,10,Córdoba,NO2,46.4224,37.5833,88.5417,20.7917,19.567,31
2012,10,Córdoba,PM10,21.694,21.0417,31.4167,11.1667,5.5316,31
2012,10,La Boca,CO,0.1484,0.092,1.0954,0.0581,0.1884,30
2012,10,La Boca,NO2,24.341,23.6042,50.625,9.2,8.9381,28
2012,10,La Boca,PM10,21.6575,20.75,46.2083,8.7692,8.5958,31
2012,11,Centenario,CO,0.4877,0.4614,0.8458,0.27,0.1576,26
2012,11,Centenario,NO2,16.7565,14.9375,33.3077,9.0833,6.5562,26
2012,11,Centenario,PM10,29.8483,28.2083,50.2174,16.7917,7.3482,25
2012,11,Córdoba,CO,0.4065,0.336,1.1353,0.1281,0.2311,30
2012,11,Córdoba,NO2,31.4456,30.2292,48.8333,18.6667,7.276,30
2012,11,Córdoba,PM10,29.441,29.441,38.4444,20.4375,12.7328,2
2012,11,La Boca,CO,0.1545,0.1289,0.3912,0.056,0.0969,26
2012,11,La Boca,NO2,26.9189,22.9375,55.3636,13.9167,12.6655,30
2012,11,La Boca,PM10,29.3492,28.0417,50.0,14.75,8.5617,29
2012,12,Centenario,CO,0.5265,0.5046,0.7118,0.3608,0.1048,25
2012,12,Centenario,NO2,14.4388,13.2084,26.5,7.3846,4.9442,24
2012,12,Centenario,PM10,36.5107,31.9584,92.6,18.7083,15.8039,22
2012,12,Córdoba,CO,0.3638,0.3662,0.9529,0.0625,0.205,31
2012,12,Córdoba,NO2,35.0935,36.25,61.6667,11.7917,14.1111,31
2012,12,Córdoba,PM10,30.3572,25.9375,80.5,13.7917,15.0927,22
2012,12,La Boca,CO,0.1523,0.1281,0.425,0.0622,0.0783,30
2012,12,La Boca,NO2,21.9894,21.4167,39.1667,8.1667,7.9641,31
2012,12,La Boca,PM10,32.472,28.6666,88.9167,16.25,15.0587,30
2013,1,Centenario,CO,0.4677,0.4504,0.6846,0.2117,0.1516,11
2013,1,Centenario,NO2,13.4251,13.5417,25.4167,4.9583,5.2124,11
2013,1,Centenario,PM10,32.2711,29.6667,57.2917,22.875,9.872,11
2013,1,Córdoba,CO,0.2493,0.2192,0.4746,0.1033,0.1125,29
2013,1,Córdoba,NO2,24.5661,23.375,50.0417,12.2917,7.8314,29
2013,1,Córdoba,PM10,25.3188,25.125,42.6667,11.6667,11.0548,10
2013,1,La Boca,CO,0.0874,0.0727,0.1643,0.05,0.0359,21
2013,1,La Boca,NO2,16.4848,16.25,30.25,3.2917,6.0082,25
2013,1,La Boca,PM10,24.2891,22.75,42.5,12.2917,8.1975,24
2013,2,Centenario,CO,0.3995,0.41,0.5117,0.3038,0.0789,11
2013,2,Centenario,NO2,20.9721,19.4167,35.9167,14.4583,5.6799,11
2013,2,Centenario,PM10,38.5145,31.9517,74.5,22.1667,17.1057,10
2013,2,Córdoba,CO,0.3155,0.3075,0.6155,0.1575,0.1213,23
2013,2,Córdoba,NO2,23.8577,23.625,40.0,12.5,7.7193,17
2013,2,Córdoba,PM10,24.5261,21.5,43.6667,17.0833,7.9714,19
2013,2,La Boca,CO,0.0913,0.0962,0.1567,0.05,0.0293,20
2013,2,La Boca,NO2,12.9735,12.0833,26.4167,7.6364,4.798,20
2013,2,La Boca,PM10,25.4167,22.4167,65.8333,11.625,10.9485,28
2013,3,Centenario,CO,0.4965,0.4458,1.3387,0.3042,0.1889,30
2013,3,Centenario,NO2,32.2922,30.1875,77.8333,11.125,15.6422,30
2013,3,Centenario,PM10,33.1106,28.25,68.75,15.125,14.3655,29
2013,3,Córdoba,CO,0.3605,0.3521,0.7467,0.1053,0.1856,31
2013,3,Córdoba,PM10,25.0153,24.096,41.3333,12.2857,7.8781,30
2013,3,La Boca,CO,0.1207,0.0782,0.5173,0.05,0.0974,27
2013,3,La Boca,NO2,15.318,14.4167,25.25,7.5417,4.2588,31
2013,3,La Boca,PM10,23.4279,23.0833,38.4737,10.7917,7.1014,31
2013,4,Centenario,CO,0.6495,0.576,1.1317,0.3517,0.2112,28
2013,4,Centenario,NO2,22.2438,21.3958,32.7273,15.2083,4.6445,22
2013,4,Centenario,PM10,27.9486,25.0,43.7917,13.8571,8.6021,27
2013,4,Córdoba,CO,0.3922,0.3633,1.0158,0.1413,0.1862,30
2013,4,Córdoba,PM10,24.0942,23.1542,39.0833,16.2917,5.8062,30
2013,4,La Boca,CO,0.1677,0.1243,0.4645,0.05,0.1091,30
2013,4,La Boca,NO2,16.4842,15.9584,28.2917,8.0833,4.5661,30
2013,4,La Boca,PM10,26.3278,24.5,47.1304,13.7083,8.7928,29
2013,5,Centenario,CO,0.7238,0.7333,1.0471,0.3362,0.2015,31
2013,5,Centenario,NO2,21.0765,21.1905,29.9167,11.6667,3.9604,31
2013,5,Centenario,PM10,29.5907,27.5833,52.0417,16.125,8.8835,31
